"","Comparison","SIMPER","OTU"
"1","Wild_Lab",0.0286438993466218,"Otu00037"
"2","Wild_Lab",0.0232140461783387,"Otu00031"
"3","Wild_Lab",0.0191788734543248,"Otu00018"
"4","Wild_Lab",0.0165786845515032,"Otu00032"
"5","Wild_Lab",0.0154800131778015,"Otu00003"
"6","Wild_Lab",0.015058501178104,"Otu00116"
"7","Wild_Lab",0.014459549077446,"Otu00019"
"8","Wild_Lab",0.014421333679549,"Otu00062"
"9","Wild_Lab",0.01211396765521,"Otu00039"
"10","Wild_Lab",0.011932757521635,"Otu00091"
"11","Wild_Lab",0.01166675649066,"Otu00159"
"12","Wild_Lab",0.010563486810387,"Otu00022"
"13","Wild_Lab",0.010192958385384,"Otu00015"
