Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
SummerLab_IBA,0.102334892,Otu00001,0.001781887,0.010542831,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.00386329,0.005697976,0.175140398,0.185405559
SummerWild_IBA,0.098679245,Otu00001,0.004323111,0.018055347,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.003363833,0.005837296,0.175140398,0.185405559
SummerWild_Spring,0.038627936,Otu00002,0.014574297,0.04703523,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0,0,0.06743285,0.057431098
SummerLab_Torpor,0.013452076,Otu00003,0.01036115,0.035884959,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023001106,0.031067017,0.000421826,0.000607927
SummerLab_Torpor,0.065008909,Otu00004,0.001387129,0.009258331,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.003422756,0.006989586,0.112432414,0.130158534
SummerLab_IBA,0.037117699,Otu00004,0.005163779,0.020368241,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.003422756,0.006989586,0.06388403,0.098339466
Torpor_Spring,0.063630778,Otu00004,0.011932457,0.040343068,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.112432414,0.130158534,0.007908275,0.012350849
SummerWild_Torpor,0.061776426,Otu00004,0.012753343,0.04211569,Bacteroidetes - Bacteroidia - Bacteroidales - Marinifilaceae - Odoribacter,0.005178992,0.005297788,0.112432414,0.130158534
SummerWild_Spring,0.010499208,Otu00005,0.002699796,0.012695086,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000157416,0.000102385,0.0184859,0.02616024
Torpor_Spring,0.010607371,Otu00005,0.003480376,0.014976165,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000748018,0.001180532,0.0184859,0.02616024
IBA_Spring,0.010692023,Otu00005,0.006412714,0.023348857,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.001324194,0.002323002,0.0184859,0.02616024
SummerLab_Spring,0.012629095,Otu00008,0.000490076,0.003866156,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-001,0.001298776,0.003251794,0.020573193,0.012132768
IBA_Spring,0.012225729,Otu00008,0.000447094,0.003866156,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-001,0.000148932,0.000220532,0.020573193,0.012132768
Torpor_Spring,0.012120097,Otu00008,0.000329188,0.003866156,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-001,4.94E-05,0.000109914,0.020573193,0.012132768
SummerWild_Spring,0.011496284,Otu00008,0.002556095,0.012695086,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-001,0.000504112,0.000521168,0.020573193,0.012132768
SummerLab_Torpor,0.027024496,Otu00013,0.009904161,0.035159772,Kiritimatiellaeota - Kiritimatiellae - WCHB1-41 - WCHB1-41_fa - WCHB1-41_ge,0.000897318,0.002981313,0.045679303,0.064384176
IBA_Spring,0.010977959,Otu00015,0.000214504,0.00304595,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.000174859,0.000346797,0.0185146,0.012522702
Torpor_Spring,0.010603446,Otu00015,0.001719213,0.010542831,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.000608391,0.001142059,0.0185146,0.012522702
SummerWild_Spring,0.010583364,Otu00015,0.002349512,0.012356691,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,3.92E-05,4.89E-05,0.0185146,0.012522702
SummerWild_Torpor,0.010953653,Otu00016,0.000488805,0.003866156,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.000964514,0.000674844,0.020285513,0.018652498
SummerLab_Torpor,0.01073704,Otu00016,0.000660983,0.004692982,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.003644089,0.006273491,0.020285513,0.018652498
SummerLab_Torpor,0.013524085,Otu00017,0.002771463,0.012695086,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.022984214,0.026403282,7.41E-05,0.000126881
SummerLab_IBA,0.013555198,Otu00017,0.004576751,0.018568531,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.022984214,0.026403282,0.000148934,0.00017676
SummerLab_Torpor,0.021786807,Otu00019,0.001932529,0.010976764,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,0.037023401,0.039153011,9.91E-05,0.000143221
SummerLab_IBA,0.021698246,Otu00019,0.003359248,0.014906662,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,0.037023401,0.039153011,0.000818381,0.001767269
SummerLab_IBA,0.017577256,Otu00027,0.006125223,0.022888992,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.0297054,0.072104969,6.51E-06,2.43E-05
SummerLab_Torpor,0.017508249,Otu00027,0.015766131,0.049750902,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.0297054,0.072104969,8.23E-06,2.73E-05
SummerLab_IBA,0.015214185,Otu00033,5.59E-05,0.001322924,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.025724993,0.048080876,1.97E-05,5.34E-05
SummerLab_Torpor,0.015148916,Otu00033,0.000465984,0.003866156,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.025724993,0.048080876,3.29E-05,6.10E-05
SummerWild_SummerLab,0.015177185,Otu00033,0.006123113,0.022888992,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000579073,0.000769601,0.025724993,0.048080876
SummerLab_IBA,0.025821372,Otu00035,1.56E-06,0.000222027,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.043643726,0.051716979,6.46E-06,2.42E-05
SummerLab_Torpor,0.025714211,Otu00035,1.23E-05,0.00037757,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.043643726,0.051716979,1.65E-05,3.66E-05
SummerWild_SummerLab,0.02575105,Otu00035,0.000211432,0.00304595,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000594101,0.00082249,0.043643726,0.051716979
SummerLab_Spring,0.028387777,Otu00035,0.000394484,0.003866156,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.043643726,0.051716979,0,0
IBA_Spring,0.013587095,Otu00044,0.000482217,0.003866156,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,9.07E-05,0.000100543,0.022789275,0.037912105
Torpor_Spring,0.013428739,Otu00044,0.000588968,0.004401759,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,4.95E-05,7.43E-05,0.022789275,0.037912105
SummerWild_Spring,0.012979866,Otu00044,0.00266342,0.012695086,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000130302,0.000126494,0.022789275,0.037912105
SummerWild_IBA,0.013570631,Otu00055,0.000475518,0.003866156,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003,0.02384097,0.020154583,0,0
SummerWild_SummerLab,0.011415597,Otu00096,0.001434389,0.009258331,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.015438704,0.016780381,0.006175118,0.022934756
SummerWild_SummerLab,0.010420902,Otu00111,0.000148595,0.002637564,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.01742554,0.023105685,5.98E-06,2.32E-05
SummerWild_SummerLab,0.013174802,Otu00119,7.63E-06,0.000361061,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.022025132,0.017006447,0,0
SummerWild_IBA,0.012537029,Otu00119,1.33E-05,0.00037757,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.022025132,0.017006447,0,0
SummerWild_Torpor,0.012486706,Otu00119,7.31E-05,0.001482804,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.022025132,0.017006447,0,0
SummerWild_Spring,0.012608138,Otu00119,0.002028843,0.011080605,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.022025132,0.017006447,1.51E-05,3.70E-05
SummerWild_SummerLab,0.010135347,Otu00163,7.63E-06,0.000361061,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.016943886,0.024901713,0,0
