Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Wild_Captive,0.034181271,Otu00035,0.014085488,0.045777835,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000473664,0.000820411,0.057159291,0.070647988
Wild_Captive,0.021089367,Otu00033,0.063732061,0.118359542,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.000556948,0.000964662,0.035260441,0.066019863
Wild_Captive,0.019332865,Otu00027,0.530801377,0.627310718,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.003353572,0.003300076,0.031197067,0.081729087
Wild_Captive,0.015517145,Otu00055,0.097936992,0.159147612,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003,0.026487053,0.024839555,0.00226107,0.005245182
Wild_Captive,0.014136676,Otu00023,0.916801245,0.916801245,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Akkermansiaceae - Akkermansia,0.008435146,0.011780685,0.02069058,0.045856813
Wild_Captive,0.013664367,Otu00119,0.001836791,0.007959428,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.022660748,0.017997525,0,0
Wild_Captive,0.012395284,Otu00166,0.001836791,0.007959428,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.020556123,0.033725189,0,0
Wild_Captive,0.012364508,Otu00163,0.001836791,0.007959428,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.020505085,0.030560793,0,0
Wild_Captive,0.011926339,Otu00140,0.063732061,0.118359542,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminiclostridium_6,0.019817043,0.030125266,0.002776288,0.005975551
Wild_Captive,0.011749333,Otu00017,0.124925774,0.18044834,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.00046794,0.000426675,0.01973488,0.024935123
Wild_Captive,0.011336008,Otu00096,0.063732061,0.118359542,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.010032382,0.008553887,0.011673387,0.032374987
Wild_Captive,0.011190312,Otu00003,0.682408082,0.739275422,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.004217308,0.003792966,0.019356497,0.026424775
Wild_Captive,0.010988964,Otu00019,0.209999672,0.272999573,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_unclassified - Bacteroidales_unclassified,0.002178856,0.003773889,0.018434226,0.025997225
