"","CC1_058_W","CC1_059_W","CC1_060_W","CC1_881_S","CC1_883_I","CC1_884_T","CC1_885_T","CC1_886_T","CC1_890_S","CC1_894_P","CC1_895_T","CC1_899_I","CC1_901_T","CC1_906_P","CC1_907_S","CC1_910_I","CC1_912_S","CC1_917_I","CC1_919_I","CC1_920_T","CC1_921_P","CC1_922_I","CC1_923_S","CC1_924_I","CC2_882_S","CC2_889_S","CC2_911_S","CM1_057_W","CM1_058_W","CM1_059_W","CM1_060_W","CM1_882_S","CM1_883_I","CM1_884_T","CM1_885_T","CM1_889_S","CM1_894_P","CM1_895_T","CM1_899_I","CM1_901_T","CM1_906_P","CM1_907_S","CM1_910_I","CM1_911_S","CM1_917_I","CM1_919_I","CM1_920_T","CM1_921_P","CM1_922_I","CM1_923_S","CM1_924_I","CM2_890_S","CM2_912_S"
"Otu00423",0.326678765880218,0.147424675205012,0.229621125143513,0,0,0,0,0,0.0806740767300108,0,0.00919117647058824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0729727264434917,0,0.0627690100430416,0.184077312471238,0.128310878929521,0.218082689686506,0,0,0,0,0.313162015289675,0,0.0181702552920869,0,0,0,0,0,0,0,0,0,0,0,0,0,0.235017626321974,0
"Otu00470",0.163339382940109,0.405417856813784,0.191350937619594,0,0,0,0.0090711175616836,0,0.0179275726066691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134505021520803,0.1932811780948,0.155806067271561,0.0817810086324398,0,0,0,0,0.00921064750851985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903913947392208,0
"Otu13516",0,0,0,0,0,0,0,0,0.00896378630333453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05916",0,0,0,0,0,0,0,0,0.00896378630333453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu13515",0,0,0,0,0,0,0,0,0.00896378630333453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02886",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092038656235619,0,0.0181735574738755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu12396",0.00907441016333938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00684",0.0453720508166969,0,0.0287026406429392,0,0,0,0,0,0,0,0,0.0449115242971346,0,0.0725821085102522,0,0,0,0.0183318056828598,0,0,0,0,0,0,0,0,0.0180521707735355,0,0.0644270593649333,0,0.0181735574738755,0,0,0,0,0,0,0,0.0366132723112128,0,0.162763360159146,0,0,0.0181603559429765,0.0271665308340125,0,0,0,0,0,0,0,0.00897263346792283
"Otu12901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00904240889773036,0,0,0,0,0,0,0,0,0,0,0,0
"Otu10841",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00897263346792283
"Otu01742",0,0,0,0,0,0,0,0,0,0,0,0,0.00904159132007233,0,0,0,0,0,0,0,0,0,0,0,0.00917094644167278,0,0,0,0,0,0,0.00911826388255676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00128",0.163339382940109,0.58969870082005,0.0574052812858783,0.00899685110211426,0,0,0.208635703918723,0.731328274979431,0.0448189315166726,0,0.0459558823529412,0.242522231204527,0.976491862567812,0.0181455271275631,0.0089863407620417,0.01850994909764,0,0,0,0.0181093806591815,0.0830411515039675,0.00904977375565611,0,0,0.962949376375642,0.547295448326188,0,0.0538020086083214,0.156465715600552,0.293282008981762,0.0908677873693775,0.93006291602079,0,0,0.387841616307387,0,0,0.0363405105841737,0.356979405034325,1.6460531102219,0.0542544533863821,0.0275938189845475,0.0270416441319632,0.0272405339144647,0.00905551027800417,0.0271788367457873,0.00905961224859576,0.181175831144125,0.00905305087814593,0,0,0.126547952634909,0.0269179004037685
"Otu00651",0.0362976406533575,0.184280844006266,0.066972828166858,0,0,0,0,0,0.107565435640014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0276115968706857,0.0733205022454404,0.0545206724216265,0,0,0,0,0.0184212950170397,0,0.00908512764604343,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21693934737413,0
"Otu05256",0,0,0.00956754688097972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05465",0,0,0,0,0.00901388137732108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00635",0.172413793103448,0.175066801805952,0.00956754688097972,0,0,0,0,0,0.0268913589100036,0,0,0,0,0,0,0,0,0,0,0.0724375226367258,0,0,0,0,0,0.00912159080543647,0,0,0.110446387482743,0.0641554394647603,0.00908677873693776,0,0,0,0,0.0552638850511191,0,0,0,0,0.0180848177954607,0,0,0,0,0,0.0452980612429788,0,0,0,0,0.108469673687065,0
"Otu05464",0,0,0,0,0,0,0,0,0.00896378630333453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00730",0.0181488203266788,0.0276421266009398,0.0287026406429392,0,0,0,0.199564586357039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896700143472023,0.0092038656235619,0.0183301255613601,0.00908677873693776,0,0,0,0.171371876973031,0,0,0,0,0,0,0,0,0.036320711885953,0,0.00905961224859576,0.00905961224859576,0,0,0,0,0.00903913947392208,0.0986989681471512
"Otu03463",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00911826388255676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00208",0.0544464609800363,0,0.0287026406429392,0.0269905533063428,1.8839012078601,1.52417027417027,0,0,0,0,0,0,0,0,0.0808770668583753,0,0.0278732695345164,0.00916590284142988,0,0,0,0,0,0,0.0183418928833456,0,0,0.0448350071736012,0.0368154624942476,0,0.00908677873693776,0.00911826388255676,1.53047280677781,1.15847588017015,0,0,0,0,0,0,0,0.0827814569536424,0.0180277627546422,0.0181603559429765,0,0,0,0,0,0,0,0,0.12561686855092
"Otu06993",0,0,0,0,0.00901388137732108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02904",0.00907441016333938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0179340028694405,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00578",0.0998185117967332,0,0.363566781477229,0,0,0,0,0,0.0179275726066691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896700143472023,0.119650253106305,0,0.290776919582008,0,0,0,0,0.0552638850511191,0,0,0,0,0,0,0,0.0272405339144647,0,0,0,0,0,0,0,0.117508813160987,0.053835800807537
"Otu00615",0.00907441016333938,0.0460702110015664,0.0191350937619594,0,0,0,0,0,0,0,0,0,0,0.0544365813826892,0,0,0,0,0,0,0,0,0,0,0,0,0,0.277977044476327,0,0.0549903766840803,0.00908677873693776,0,0,0,0,0,0,0,0,0,0.126593724568225,0,0,0,0,0,0,0,0.00905305087814593,0,0,0,0
"Otu00763",0.00907441016333938,0.0829263798028195,0.0382701875239189,0,0,0,0,0,0.0358551452133381,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0807030129124821,0,0.0458253139034002,0.0181735574738755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0632739763174546,0
"Otu00442",0.199637023593466,0.175066801805952,0.449674703406047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00912159080543647,0,0.206241032998565,0.248504371836171,0.0824855650261204,0.390731485688323,0,0,0,0,0.0368425900340794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0180782789478442,0
"Otu00807",0,0,0.114810562571757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0986370157819225,0,0.0183301255613601,0.172648796001817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00903913947392208,0
"Otu00791",0.0816696914700544,0.0460702110015664,0.143513203214696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644270593649333,0.0366602511227202,0.154475238527942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00530",0.0816696914700544,0.239565097208145,0.0287026406429392,0,0.00901388137732108,0,0,0,0.0537827178200072,0.0180733779143322,0,0,0,0,0,0,0,0,0,0.00905469032959073,0,0,0,0,0,0,0.00902608538676776,0.107604017216643,0.0644270593649333,0.201631381174961,0.0181735574738755,0,0.0182199143664025,0,0,0.0921064750851985,0.00905141202027516,0,0,0,0,0,0,0,0.00905551027800417,0,0.00905961224859576,0,0.00905305087814593,0,0,0.117508813160987,0
"Otu11807",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00896700143472023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00640",0,0.110568506403759,0.35399923459625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0092038656235619,0.0641554394647603,0.345297592003635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00818",0.0907441016333938,0.0644982954021929,0.066972828166858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0644270593649333,0.0733205022454404,0.109041344843253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu01225",0.0181488203266788,0.0368561688012531,0.00956754688097972,0,0,0,0,0,0,0,0,0,0,0,0.0089863407620417,0,0,0,0,0,0,0,0,0,0,0,0.00902608538676776,0,0,0.00916506278068005,0.036347114947751,0,0,0,0,0,0,0,0,0,0,0.00919793966151582,0,0.00908017797148824,0,0,0,0,0,0,0,0,0
"Otu01152",0.0362976406533575,0,0.0287026406429392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448350071736012,0,0.00916506278068005,0.036347114947751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02291",0,0.0276421266009398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu01191",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0538020086083214,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu03823",0,0.00921404220031328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
