"","CC1_058_W","CC1_059_W","CC1_060_W","CC1_881_S","CC1_883_I","CC1_884_T","CC1_885_T","CC1_886_T","CC1_890_S","CC1_894_P","CC1_895_T","CC1_899_I","CC1_901_T","CC1_906_P","CC1_907_S","CC1_910_I","CC1_912_S","CC1_917_I","CC1_919_I","CC1_920_T","CC1_921_P","CC1_922_I","CC1_923_S","CC1_924_I","CC2_882_S","CC2_889_S","CC2_911_S","CM1_057_W","CM1_058_W","CM1_059_W","CM1_060_W","CM1_882_S","CM1_883_I","CM1_884_T","CM1_885_T","CM1_889_S","CM1_894_P","CM1_895_T","CM1_899_I","CM1_901_T","CM1_906_P","CM1_907_S","CM1_910_I","CM1_911_S","CM1_917_I","CM1_919_I","CM1_920_T","CM1_921_P","CM1_922_I","CM1_923_S","CM1_924_I","CM2_890_S","CM2_912_S"
"Otu00596",0.417422867513612,0,0.0956754688097972,0,0,0,0,0,0,0,0,0,0,0,0.0629043853342919,0,0,0,0.0179549331178741,0,0,0,0,0,0,0,0,0,0.331339162448228,0,0.0636074511585643,0,0,0,0,0,0,0,0,0,0,0.0551876379690949,0,0,0,0.0271788367457873,0,0,0,0,0,0,0
"Otu05019",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905469032959073,0,0.00904977375565611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu00697",0.00907441016333938,0,0.0478377344048986,0,0,0,0,0,0,0,0,0,0,0,0.0089863407620417,0.01850994909764,0,0.00916590284142988,0,0.0724375226367258,0,0.00904977375565611,0,0,0,0,0,0,0.0092038656235619,0,0.0181735574738755,0,0,0,0,0,0,0,0,0,0,0.00919793966151582,0.0360555255092843,0,0,0,0.289907591955064,0,0.0452652543907297,0,0,0,0.0358905338716913
"Otu08360",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00904977375565611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu02480",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00911826388255676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06318",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00905961224859576,0,0,0,0,0,0,0
"Otu06958",0,0,0,0,0,0,0,0,0.00896378630333453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu06959",0.00907441016333938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu10364",0.00907441016333938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Otu05628",0,0,0.00956754688097972,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
