"X","Comparison","SIMPER","OTU","krusk_p.val","fdr_krusk_p.val","Taxonomy","Left.mean.abund","Left.stdev","Right.mean.abund","Right.stdev"
"1",1,"SummerWild_SummerLab",0.0276167027000224,"Otu00037",0.000884871298082965,0.00775563667143305,"Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus",0.000370808060135369,0.000573492598142798,0.0474003115187317,0.0581029653908659
"2",2,"SummerWild_SummerLab",0.0224439173625039,"Otu00031",0.173852238784223,0.308380756891062,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0,0,0.0383359551545544,0.0852669331223649
"3",3,"SummerWild_SummerLab",0.0184938356688462,"Otu00018",0.0766617469207552,0.196941384330905,"Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified",0.00177889002571689,0.00285427568699591,0.0318368930953245,0.0420815992373313
"4",4,"SummerWild_SummerLab",0.0160016655759603,"Otu00032",0.0207264266960201,0.0834658804785673,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.000548707538881776,0.000860454149361837,0.0275925254122834,0.057482602533929
"5",5,"SummerWild_SummerLab",0.0149383456981004,"Otu00003",0.510716267369163,0.643311088320442,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.00398939283220883,0.00335125953050167,0.0262814119581627,0.0334930430034648
"6",6,"SummerWild_SummerLab",0.0144520780781418,"Otu00116",0.0029697533142073,0.0170189709160341,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0246578905149919,0.0375290577489072,0,0
"7",7,"SummerWild_SummerLab",0.013955642015054,"Otu00019",0.154008233779315,0.290921030857771,"Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1",0.000567534484021205,0.000523295036200264,0.0239770560068139,0.0266402982172907
"8",8,"SummerWild_SummerLab",0.01391570828264,"Otu00062",0.000104124793724181,0.00193932428311287,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0237891037659224,0.0180802408553861,0,0
"9",9,"SummerWild_SummerLab",0.011714712672678,"Otu00039",0.0914442065625427,0.215108734360696,"Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003",0.0199012813657487,0.0189649089836606,0.00577540571372581,0.0138680963189696
"10",10,"SummerWild_SummerLab",0.011552670847151,"Otu00091",0.000104124793724181,0.00193932428311287,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group",0.0196946692105781,0.0259256403067171,0,0
"11",11,"SummerWild_SummerLab",0.011295018093398,"Otu00159",0.000101364918243408,0.00193932428311287,"Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified",0.0192477916741733,0.0282641262947637,0,0
"12",12,"SummerWild_SummerLab",0.010222127143893,"Otu00022",0.683982843373056,0.802468060335317,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.00597260344327933,0.00811405368026715,0.0154425135388652,0.0394200886241665
"13",13,"SummerWild_IBA",0.116595810450013,"Otu00001",0.010285590140892,0.0510850976997638,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.00389249140465854,0.00615216862591031,0.21053585852432,0.245667934324192
"14",14,"SummerWild_IBA",0.025231398768621,"Otu00010",0.424782054819738,0.565111840786973,"Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia",0.00334829168302231,0.00550580260770091,0.0436107694634057,0.0962397713802375
"15",15,"SummerWild_IBA",0.024681159542785,"Otu00004",0.404316506723676,0.550497673924997,"Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter",0.0043912377701065,0.00524286047162946,0.045076368454658,0.0739390528096588
"16",16,"SummerWild_IBA",0.021281150274957,"Otu00011",0.0588929443395197,0.1641833428209,"Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes",0.00223796223923474,0.0025163067492993,0.0391294976203062,0.0456073896019529
"17",17,"SummerWild_IBA",0.015981778135264,"Otu00008",0.0858305461804553,0.209115129437758,"Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge",0.00150033539810841,0.00149358625436423,0.029305103203101,0.0355914686592806
"18",18,"SummerWild_IBA",0.014552171915392,"Otu00013",0.145360995868188,0.284984057688947,"Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides",0.000548595532046032,0.000619619420645497,0.0262290391966237,0.0380923665553049
