"","Comparison","SIMPER","OTU"
"1","SummerWild_SummerLab",0.0276167027000224,"Otu00037"
"2","SummerWild_SummerLab",0.0224439173625039,"Otu00031"
"3","SummerWild_SummerLab",0.0184938356688462,"Otu00018"
"4","SummerWild_SummerLab",0.0160016655759603,"Otu00032"
"5","SummerWild_SummerLab",0.0149383456981004,"Otu00003"
"6","SummerWild_SummerLab",0.0144520780781418,"Otu00116"
"7","SummerWild_SummerLab",0.013955642015054,"Otu00019"
"8","SummerWild_SummerLab",0.01391570828264,"Otu00062"
"9","SummerWild_SummerLab",0.011714712672678,"Otu00039"
"10","SummerWild_SummerLab",0.011552670847151,"Otu00091"
"11","SummerWild_SummerLab",0.011295018093398,"Otu00159"
"12","SummerWild_SummerLab",0.010222127143893,"Otu00022"
"82","SummerWild_IBA",0.116595810450013,"Otu00001"
"83","SummerWild_IBA",0.025231398768621,"Otu00010"
"84","SummerWild_IBA",0.024681159542785,"Otu00004"
"85","SummerWild_IBA",0.021281150274957,"Otu00011"
"86","SummerWild_IBA",0.015981778135264,"Otu00008"
"87","SummerWild_IBA",0.014552171915392,"Otu00013"
"88","SummerWild_IBA",0.013781869316282,"Otu00116"
"89","SummerWild_IBA",0.01368078218302,"Otu00034"
"90","SummerWild_IBA",0.013270373913103,"Otu00062"
"91","SummerWild_IBA",0.011124093432769,"Otu00039"
"92","SummerWild_IBA",0.011016920660732,"Otu00091"
"93","SummerWild_IBA",0.01077454294992,"Otu00035"
"94","SummerWild_IBA",0.010771216365661,"Otu00159"
"129","SummerWild_Torpor",0.0482028000330779,"Otu00004"
"130","SummerWild_Torpor",0.0324793558303631,"Otu00010"
"131","SummerWild_Torpor",0.030772298327231,"Otu00001"
"132","SummerWild_Torpor",0.025235362740284,"Otu00011"
"133","SummerWild_Torpor",0.023249808279301,"Otu00012"
"134","SummerWild_Torpor",0.022696643765144,"Otu00049"
"135","SummerWild_Torpor",0.018246153537414,"Otu00022"
"136","SummerWild_Torpor",0.016749493960817,"Otu00020"
"137","SummerWild_Torpor",0.013830712972159,"Otu00116"
"138","SummerWild_Torpor",0.01381197150314,"Otu00017"
"139","SummerWild_Torpor",0.013310759684281,"Otu00062"
"140","SummerWild_Torpor",0.012911424553614,"Otu00035"
"141","SummerWild_Torpor",0.011707414934042,"Otu00016"
"142","SummerWild_Torpor",0.011132615566242,"Otu00039"
"143","SummerWild_Torpor",0.01105597685728,"Otu00091"
"144","SummerWild_Torpor",0.010809407165094,"Otu00159"
"145","SummerWild_Torpor",0.010032965182368,"Otu00023"
"146","SummerWild_Torpor",0.010009755461281,"Otu00095"
"175","SummerWild_Spring",0.058679106428639,"Otu00018"
"176","SummerWild_Spring",0.0394977421239626,"Otu00045"
"177","SummerWild_Spring",0.0298373802825074,"Otu00074"
"178","SummerWild_Spring",0.023577204154317,"Otu00002"
"179","SummerWild_Spring",0.015646926685915,"Otu00127"
"180","SummerWild_Spring",0.013513240123601,"Otu00116"
"181","SummerWild_Spring",0.013002479854329,"Otu00062"
"182","SummerWild_Spring",0.011723002713054,"Otu00132"
"183","SummerWild_Spring",0.01172088612885,"Otu00001"
"184","SummerWild_Spring",0.010802199463478,"Otu00091"
"185","SummerWild_Spring",0.010561291256562,"Otu00159"
"186","SummerWild_Spring",0.010068665500916,"Otu00039"
"235","SummerLab_IBA",0.121018150057878,"Otu00001"
"236","SummerLab_IBA",0.027435485687437,"Otu00037"
"237","SummerLab_IBA",0.027064969228717,"Otu00010"
"238","SummerLab_IBA",0.025751285205782,"Otu00004"
"239","SummerLab_IBA",0.022233457529726,"Otu00011"
"240","SummerLab_IBA",0.02219636156905,"Otu00031"
"241","SummerLab_IBA",0.018387909330459,"Otu00018"
"242","SummerLab_IBA",0.016435100850902,"Otu00008"
"243","SummerLab_IBA",0.015968772078577,"Otu00032"
"244","SummerLab_IBA",0.015544869153372,"Otu00013"
"245","SummerLab_IBA",0.015098309418676,"Otu00034"
"246","SummerLab_IBA",0.015051847553981,"Otu00003"
"247","SummerLab_IBA",0.013869872798615,"Otu00019"
"248","SummerLab_IBA",0.011736765546953,"Otu00006"
"249","SummerLab_IBA",0.011502730828641,"Otu00035"
"250","SummerLab_IBA",0.010546607545752,"Otu00017"
"264","SummerLab_Torpor",0.0504362832762114,"Otu00004"
"265","SummerLab_Torpor",0.0340253447546687,"Otu00010"
"266","SummerLab_Torpor",0.0319613996148389,"Otu00001"
"267","SummerLab_Torpor",0.027725198376336,"Otu00037"
"268","SummerLab_Torpor",0.026545597865545,"Otu00011"
"269","SummerLab_Torpor",0.024202593832551,"Otu00012"
"270","SummerLab_Torpor",0.02351328351638,"Otu00022"
"271","SummerLab_Torpor",0.023062850786204,"Otu00049"
"272","SummerLab_Torpor",0.022367243701403,"Otu00031"
"273","SummerLab_Torpor",0.018587393161702,"Otu00018"
"274","SummerLab_Torpor",0.017639367483216,"Otu00020"
"275","SummerLab_Torpor",0.01607916424789,"Otu00032"
"276","SummerLab_Torpor",0.015267733736926,"Otu00003"
"277","SummerLab_Torpor",0.014762071488034,"Otu00017"
"278","SummerLab_Torpor",0.013985032334933,"Otu00019"
"279","SummerLab_Torpor",0.01346444745864,"Otu00035"
"280","SummerLab_Torpor",0.012175267310142,"Otu00016"
"281","SummerLab_Torpor",0.011214790194936,"Otu00023"
"282","SummerLab_Torpor",0.010544963047121,"Otu00006"
"283","SummerLab_Torpor",0.01023274537009,"Otu00095"
"294","SummerLab_Spring",0.0616800004226419,"Otu00018"
"295","SummerLab_Spring",0.0404730889964561,"Otu00045"
"296","SummerLab_Spring",0.032373516787336,"Otu00074"
"297","SummerLab_Spring",0.028218195754358,"Otu00037"
"298","SummerLab_Spring",0.025675221009218,"Otu00002"
"299","SummerLab_Spring",0.022752936084676,"Otu00031"
"300","SummerLab_Spring",0.018740412391377,"Otu00003"
"301","SummerLab_Spring",0.016964463035293,"Otu00127"
"302","SummerLab_Spring",0.016505884095991,"Otu00032"
"303","SummerLab_Spring",0.014025798627211,"Otu00019"
"304","SummerLab_Spring",0.012924133960972,"Otu00132"
"305","SummerLab_Spring",0.012626508934528,"Otu00001"
"306","SummerLab_Spring",0.011264575255075,"Otu00015"
"333","IBA_Torpor",0.14033180792083,"Otu00001"
"334","IBA_Torpor",0.063834712027729,"Otu00004"
"335","IBA_Torpor",0.056350310842256,"Otu00010"
"336","IBA_Torpor",0.036002606641421,"Otu00011"
"337","IBA_Torpor",0.031905501497748,"Otu00012"
"338","IBA_Torpor",0.029125392398863,"Otu00049"
"339","IBA_Torpor",0.021402488959652,"Otu00035"
"340","IBA_Torpor",0.0213872222397909,"Otu00017"
"341","IBA_Torpor",0.021124830086325,"Otu00020"
"342","IBA_Torpor",0.020015224070598,"Otu00008"
"343","IBA_Torpor",0.01962670422816,"Otu00022"
"344","IBA_Torpor",0.019128608650518,"Otu00013"
"345","IBA_Torpor",0.018169426501939,"Otu00023"
"346","IBA_Spring",0.114064016835454,"Otu00001"
"347","IBA_Spring",0.060186870513585,"Otu00018"
"348","IBA_Spring",0.040473052233954,"Otu00045"
"349","IBA_Spring",0.030557478678854,"Otu00074"
"350","IBA_Spring",0.025320676377227,"Otu00010"
"351","IBA_Spring",0.024863711233678,"Otu00004"
"352","IBA_Spring",0.024291553964479,"Otu00002"
"353","IBA_Spring",0.02109693091193,"Otu00011"
"354","IBA_Spring",0.016245423659212,"Otu00008"
"355","IBA_Spring",0.016025003874116,"Otu00127"
"356","IBA_Spring",0.014487929160321,"Otu00034"
"357","IBA_Spring",0.014257982596682,"Otu00013"
"358","IBA_Spring",0.012238761209482,"Otu00132"
"359","IBA_Spring",0.010529106489864,"Otu00006"
"368","Torpor_Spring",0.0601488809882666,"Otu00018"
"369","Torpor_Spring",0.0476113675136704,"Otu00004"
"370","Torpor_Spring",0.040454600996609,"Otu00045"
"371","Torpor_Spring",0.032648623724624,"Otu00001"
"372","Torpor_Spring",0.032422343984558,"Otu00010"
"373","Torpor_Spring",0.030515425015817,"Otu00074"
"374","Torpor_Spring",0.025232697250598,"Otu00011"
"375","Torpor_Spring",0.024154151981805,"Otu00002"
"376","Torpor_Spring",0.023619068987293,"Otu00012"
"377","Torpor_Spring",0.022137671240256,"Otu00049"
"378","Torpor_Spring",0.016397448190205,"Otu00022"
"379","Torpor_Spring",0.01606448308015,"Otu00020"
"380","Torpor_Spring",0.016003335426803,"Otu00127"
"381","Torpor_Spring",0.013295477372709,"Otu00017"
"382","Torpor_Spring",0.012244438286292,"Otu00132"
"383","Torpor_Spring",0.011460604172448,"Otu00035"
"384","Torpor_Spring",0.010590506716927,"Otu00016"
"385","Torpor_Spring",0.010483642871862,"Otu00023"
"392","Content_Mucosa",0.0737141490777407,"Otu00001"
"393","Content_Mucosa",0.0339695901803603,"Otu00004"
"394","Content_Mucosa",0.028408787633035,"Otu00010"
"395","Content_Mucosa",0.025741583648256,"Otu00018"
"396","Content_Mucosa",0.021545801022082,"Otu00011"
"397","Content_Mucosa",0.014577349335262,"Otu00045"
"398","Content_Mucosa",0.014406922818189,"Otu00012"
"399","Content_Mucosa",0.012158569698717,"Otu00008"
"400","Content_Mucosa",0.012046353976767,"Otu00037"
"401","Content_Mucosa",0.01193226455156,"Otu00017"
"402","Content_Mucosa",0.011882439073252,"Otu00022"
"403","Content_Mucosa",0.011859329041179,"Otu00020"
"404","Content_Mucosa",0.011707754709189,"Otu00035"
"405","Content_Mucosa",0.011486150287825,"Otu00049"
"406","Content_Mucosa",0.011272137828252,"Otu00013"
"407","Content_Mucosa",0.010593298231831,"Otu00006"
"408","Content_Mucosa",0.010543825991836,"Otu00031"
"409","Content_Mucosa",0.010387132735533,"Otu00074"
"437","Male_Female",0.0710730406554565,"Otu00001"
"438","Male_Female",0.0342996680004235,"Otu00004"
"439","Male_Female",0.026993144053457,"Otu00010"
"440","Male_Female",0.024979967586916,"Otu00018"
"441","Male_Female",0.022060061887175,"Otu00011"
"442","Male_Female",0.015756055897427,"Otu00012"
"443","Male_Female",0.014120970456418,"Otu00035"
"444","Male_Female",0.013907511163526,"Otu00049"
"445","Male_Female",0.013866957125342,"Otu00045"
"446","Male_Female",0.013449169724712,"Otu00037"
"447","Male_Female",0.012170463149516,"Otu00008"
"448","Male_Female",0.011491421508747,"Otu00017"
"449","Male_Female",0.011293278968173,"Otu00020"
"450","Male_Female",0.011251516220595,"Otu00022"
"451","Male_Female",0.010824925583956,"Otu00013"
"452","Male_Female",0.01073017597932,"Otu00034"
