Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Content_Mucosa,0.085800144,Otu00018,0.713693841,0.933291945,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.091632438,0.128815817,0.12712901,0.120623974
Content_Mucosa,0.079590073,Otu00074,0.329442776,0.933291945,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.011226049,0.022452098,0.111778764,0.193505712
Content_Mucosa,0.064627716,Otu00045,0.479500122,0.933291945,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.066381943,0.116511742,0.079245012,0.051193157
Content_Mucosa,0.039376049,Otu00127,0.659243004,0.933291945,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.009315858,0.018631715,0.054042369,0.093604129
Content_Mucosa,0.038412589,Otu00002,0.696466486,0.933291945,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.045653947,0.059750375,0.039106145,0.06773383
Content_Mucosa,0.024508931,Otu00132,0.463071015,0.933291945,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.032326466,0.064261017,0.006642298,0.011504798
Content_Mucosa,0.018032003,Otu00191,0.659243004,0.933291945,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.009080757,0.018161514,0.023149786,0.040096605
Content_Mucosa,0.017165223,Otu00001,0.47553266,0.933291945,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.025093193,0.028654629,0.015251055,0.026212695
Content_Mucosa,0.015281846,Otu00218,0.558452157,0.933291945,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.016125249,0.032250498,0.012028293,0.020629724
Content_Mucosa,0.015210055,Otu00003,0.185876732,0.933291945,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.022142814,0.044129125,0,0
Content_Mucosa,0.013576587,Otu00093,0.659243004,0.933291945,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.007828076,0.015656151,0.017099057,0.029616435
Content_Mucosa,0.012567561,Otu00005,0.37245587,0.933291945,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.018721221,0.032446652,0.001923026,0.002748283
Content_Mucosa,0.011534579,Otu00283,0.329442776,0.933291945,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.006906077,0.013812155,0.014463195,0.024950263
Content_Mucosa,0.014979849,Otu00239,1,1,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.015399083,0.030798166,0.01265574,0.021920385
Content_Mucosa,0.014735544,Otu00144,0.853041076,1,Verrucomicrobia - WCHB1-41 - WCHB1-41_or - WCHB1-41_fa - WCHB1-41_ge,0.015333698,0.030589125,0.012106914,0.020867759
Content_Mucosa,0.013431895,Otu00241,1,1,Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group,0.016809686,0.033619372,0.005345282,0.009258299
Content_Mucosa,0.011690022,Otu00301,1,1,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.014047255,0.02809451,0.005816924,0.010075208
