Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
IBA_Torpor,0.022847454,Otu00012,0.549231531,0.818126134,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.01271606,0.022010985,0.027135088,0.060544858
SummerLab_IBA,0.015561191,Otu00004,0.561736904,0.819677319,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.005351496,0.010075372,0.027437959,0.037391355
SummerLab_Spring,0.019481062,Otu00003,0.56172011,0.819677319,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.021885578,0.027558566,0.022142814,0.044129125
IBA_Torpor,0.068119948,Otu00010,0.57506213,0.830645299,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Blautia,0.051384322,0.124883808,0.076442411,0.145687578
IBA_Torpor,0.023001369,Otu00017,0.583882421,0.834951862,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnoclostridium,0.018728398,0.033278838,0.026429895,0.053065299
SummerWild_IBA,0.010891521,Otu00017,0.605576616,0.841623585,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.009228401,0.008158695,0.018728398,0.033278838
SummerWild_Torpor,0.028392108,Otu00001,0.6084078,0.841623585,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.004534884,0.007854649,0.049520702,0.070020402
Torpor_Spring,0.043384392,Otu00010,0.608873782,0.841623585,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.076442411,0.145687578,0.003255867,0.004534386
Torpor_Spring,0.016239395,Otu00012,0.61208988,0.841623585,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_UCG-013,0.027135088,0.060544858,0.002720657,0.004539264
SummerWild_Torpor,0.01541559,Otu00012,0.631422274,0.849758045,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000239206,0.000414317,0.027135088,0.060544858
