Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
SummerWild_IBA,0.013270374,Otu00062,3.39E-05,0.001261071,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.023789104,0.018080241,0,0
SummerWild_IBA,0.011016921,Otu00091,3.39E-05,0.001261071,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.019694669,0.02592564,0,0
SummerWild_IBA,0.010771216,Otu00159,3.31E-05,0.001261071,Firmicutes - Clostridia - Clostridiales - Peptococcaceae - uncultured,0.019247792,0.028264126,0,0
SummerLab_IBA,0.027435486,Otu00037,1.32E-05,0.001261071,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.047400312,0.058102965,0.000154018,0.000521108
SummerLab_Torpor,0.027725198,Otu00037,5.50E-05,0.001638886,Firmicutes - Erysipelotrichia - Erysipelotrichales - Erysipelotrichaceae - Erysipelatoclostridium,0.047400312,0.058102965,1.17E-05,3.71E-05
SummerWild_SummerLab,0.013915708,Otu00062,0.000104125,0.001939324,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.023789104,0.018080241,0,0
SummerWild_SummerLab,0.011552671,Otu00091,0.000104125,0.001939324,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.019694669,0.02592564,0,0
SummerWild_SummerLab,0.011295018,Otu00159,0.000101365,0.001939324,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0.019247792,0.028264126,0,0
SummerWild_Torpor,0.011055977,Otu00091,0.000184708,0.002752155,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.019694669,0.02592564,0,0
SummerWild_Torpor,0.010809407,Otu00159,0.000179431,0.002752155,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.019247792,0.028264126,0,0
SummerLab_IBA,0.015968772,Otu00032,0.000225873,0.00305955,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.027592525,0.057482603,9.02E-06,3.25E-05
SummerWild_Torpor,0.01331076,Otu00062,0.000336194,0.003339522,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_Ga6A1_group,0.023789104,0.018080241,1.17E-05,3.71E-05
SummerLab_Spring,0.028218196,Otu00037,0.000327948,0.003339522,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0.047400312,0.058102965,0,0
IBA_Spring,0.040473052,Otu00045,0.000268998,0.003339522,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,9.98E-05,0.000106053,0.071894687,0.087797191
Torpor_Spring,0.040454601,Otu00045,0.000310583,0.003339522,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,3.51E-05,7.89E-05,0.071894687,0.087797191
SummerLab_Torpor,0.012175267,Otu00016,0.000665668,0.006199032,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.002397908,0.006211789,0.021943457,0.01972931
SummerWild_SummerLab,0.027616703,Otu00037,0.000884871,0.007755637,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.000370808,0.000573493,0.047400312,0.058102965
SummerWild_Torpor,0.011707415,Otu00016,0.001138096,0.008478812,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.001101595,0.000631687,0.021943457,0.01972931
SummerWild_Spring,0.010802199,Otu00091,0.001108855,0.008478812,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019694669,0.02592564,0,0
SummerWild_Spring,0.010561291,Otu00159,0.001067954,0.008478812,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.019247792,0.028264126,0,0
SummerWild_IBA,0.013781869,Otu00116,0.001388739,0.009405551,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.024657891,0.037529058,0,0
SummerWild_IBA,0.011124093,Otu00039,0.001388739,0.009405551,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.019901281,0.018964909,0,0
SummerWild_Spring,0.01300248,Otu00062,0.001602001,0.010378178,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Alloprevotella,0.023789104,0.018080241,1.66E-05,4.40E-05
SummerLab_IBA,0.12101815,Otu00001,0.002722508,0.016902234,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Rikenellaceae_unclassified,0.0032998,0.006409752,0.210535859,0.245667934
SummerWild_SummerLab,0.014452078,Otu00116,0.002969753,0.017018971,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.024657891,0.037529058,0,0
SummerLab_Torpor,0.016079164,Otu00032,0.002877806,0.017018971,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.027592525,0.057482603,3.53E-05,5.68E-05
SummerWild_Spring,0.039497742,Otu00045,0.003274558,0.018070711,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.000136578,0.000135567,0.071894687,0.087797191
SummerWild_Torpor,0.013830713,Otu00116,0.004373545,0.023273508,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidaceae - Bacteroides,0.024657891,0.037529058,0,0
Torpor_Spring,0.047611368,Otu00004,0.009484028,0.04872828,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.088463958,0.118569326,0.006856759,0.011769113
SummerWild_IBA,0.11659581,Otu00001,0.01028559,0.051085098,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0.003892491,0.006152169,0.210535859,0.245667934
SummerLab_Torpor,0.050436283,Otu00004,0.011111613,0.053407428,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.00410277,0.008044133,0.088463958,0.118569326
SummerLab_Torpor,0.018587393,Otu00018,0.012624191,0.05878139,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.031836893,0.042081599,0.000105973,0.000151297
SummerLab_IBA,0.018387909,Otu00018,0.013660947,0.061681246,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.031836893,0.042081599,0.000649564,0.001757889
SummerWild_Spring,0.01351324,Otu00116,0.014574297,0.063869712,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.024657891,0.037529058,0,0
IBA_Torpor,0.019128609,Otu00013,0.018178814,0.077389808,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.026229039,0.038092367,0.006298004,0.017821135
SummerWild_IBA,0.013680782,Otu00034,0.019122251,0.079144871,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_ge,0,0,0.024494531,0.056289879
SummerWild_SummerLab,0.016001666,Otu00032,0.020726427,0.08346588,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Odoribacter,0.000548708,0.000860454,0.027592525,0.057482603
SummerLab_Torpor,0.013985032,Otu00019,0.02281431,0.089456112,Proteobacteria - Alphaproteobacteria - Rhodospirillales - Rhodospirillaceae - uncultured,0.023977056,0.026640298,8.22E-05,0.000124328
SummerLab_IBA,0.013869873,Otu00019,0.02403321,0.091819186,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.023977056,0.026640298,0.000144958,0.000192799
SummerWild_Torpor,0.0482028,Otu00004,0.026069563,0.097109121,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.004391238,0.00524286,0.088463958,0.118569326
SummerLab_Torpor,0.015267734,Otu00003,0.027402205,0.098437524,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.026281412,0.033493043,0.000352774,0.000592559
Torpor_Spring,0.030515425,Otu00074,0.02774749,0.098437524,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Natranaerovirga,0,0,0.05432007,0.124989396
SummerWild_Spring,0.011723003,Otu00132,0.036276172,0.125701155,Bacteroidetes - Bacteroidia - Bacteroidales - Rikenellaceae - Alistipes,0,0,0.021318966,0.047930557
Torpor_Spring,0.010590507,Otu00016,0.04030133,0.136474957,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcaceae_unclassified,0.021943457,0.01972931,0.006859027,0.00929214
SummerWild_Torpor,0.011132616,Otu00039,0.042164931,0.136577712,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_UCG-003,0.019901281,0.018964909,0.000164293,0.000318373
IBA_Torpor,0.140331808,Otu00001,0.042030218,0.136577712,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Blautia,0.210535859,0.245667934,0.053931888,0.073080519
SummerLab_Torpor,0.024202594,Otu00012,0.047399366,0.145977551,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.000161691,0.000498128,0.041281016,0.06654698
IBA_Spring,0.114064017,Otu00001,0.047416226,0.145977551,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.210535859,0.245667934,0.020875134,0.025831289
IBA_Spring,0.016025004,Otu00127,0.04800604,0.145977551,Bacteroidetes - Bacteroidia - Bacteroidales - Porphyromonadaceae - Parabacteroides,0,0,0.028484363,0.060545093
