Comparison,SIMPER,OTU,krusk_p.val,fdr_krusk_p.val,Taxonomy,Left.mean.abund,Left.stdev,Right.mean.abund,Right.stdev
Content_Mucosa,0.034001077,Otu00018,0.340275914,1,Bacteroidetes - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified - Bacteroidetes_unclassified,0.020365954,0.029335603,0.051911037,0.057770184
Content_Mucosa,0.012697693,Otu00158,0.381286296,1,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.003096622,0.006853765,0.017883727,0.027210213
Content_Mucosa,0.033587932,Otu00037,0.449691798,1,Firmicutes - Bacilli - Lactobacillales - Lactobacillaceae - Lactobacillus,0.049705852,0.071647036,0.043365616,0.03086225
Content_Mucosa,0.011154821,Otu00014,0.449691798,1,Firmicutes - Clostridia - Clostridiales - Christensenellaceae - Christensenellaceae_R-7_group,0.011882336,0.015953691,0.017541889,0.019613346
Content_Mucosa,0.012020158,Otu00050,0.57506213,1,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Alloprevotella,0.007502752,0.019850416,0.013528649,0.027057298
Content_Mucosa,0.026843689,Otu00032,0.635832943,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.039249059,0.071094313,0.007193592,0.005787868
Content_Mucosa,0.012748353,Otu00097,0.68021477,1,Bacteroidetes - Bacteroidia - Bacteroidales - Bacteroidales_S24-7_group - Bacteroidales_S24-7_group_ge,0.010555778,0.017175123,0.015105188,0.023769675
Content_Mucosa,0.015975871,Otu00015,0.776318561,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Coprococcus_2,0.01652846,0.027726941,0.017209851,0.02093274
Content_Mucosa,0.010043832,Otu00068,0.842883704,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.005944994,0.011795555,0.011787282,0.022248
Content_Mucosa,0.020053729,Otu00019,0.848741799,1,Firmicutes - Clostridia - Clostridiales - Ruminococcaceae - Ruminococcus_1,0.022072442,0.025648015,0.02731013,0.032043202
Content_Mucosa,0.046503893,Otu00031,0.904340413,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_NK4A136_group,0.03292386,0.086327286,0.047807121,0.095614242
Content_Mucosa,0.01584532,Otu00022,0.922952932,1,Verrucomicrobia - Verrucomicrobiae - Verrucomicrobiales - Verrucomicrobiaceae - Akkermansia,0.021964202,0.049417424,0.004029558,0.004767733
Content_Mucosa,0.016278179,Otu00092,0.923851341,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.013352159,0.032406413,0.014829647,0.029265273
Content_Mucosa,0.025542591,Otu00003,1,1,Firmicutes - Clostridia - Clostridiales - Lachnospiraceae - Lachnospiraceae_unclassified,0.021885578,0.027558566,0.033974121,0.045785796
Content_Mucosa,0.011348704,Otu00052,1,1,Bacteroidetes - Bacteroidia - Bacteroidales - Prevotellaceae - Prevotellaceae_unclassified,0.005318697,0.008632184,0.014192123,0.026746243
